NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Outliers,Interpretation
15.0,9.0,2.4,0.8,25.0,61.0,1.1,1.7,1.7,0.9,1.0,0.5,1.3,0.0,3609.0,13.0,1150.0,96.0,1476.0,0.4,0.7,0.0,0.0,107.6,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
17.0,10.0,1.8,0.8,32.0,43.0,0.8,1.6,1.9,0.9,0.7,0.4,1.3,0.0,3630.0,15.0,1137.0,99.0,1471.0,0.4,1.9,0.0,0.0,108.2,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
14.0,7.9,2.4,0.8,16.0,48.0,1.2,1.5,1.6,0.8,0.9,0.5,1.3,0.0,3546.0,13.0,1135.0,96.0,1454.0,0.4,0.7,0.0,0.0,106.3,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
11.0,11.0,3.1,0.7,11.0,71.0,6.9,0.2,3.9,1.4,12.0,1.2,1.2,0.4,2415.0,17.0,1351.0,68.0,1028.0,2.2,0.2,1.8,0.9,119.9,0.1,Serious,['AG'],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
19.0,17.0,2.7,1.4,9.6,87.0,2.0,1.6,1.9,0.9,4.6,0.6,1.3,0.0,3363.0,12.0,1191.0,88.0,1344.0,2.9,0.7,0.0,0.0,111.0,0.1,Normal,[],Condition satisfactory.
12.0,7.8,2.5,1.3,16.0,89.0,2.3,1.6,1.7,0.9,8.2,0.5,1.3,0.0,2957.0,10.0,1316.0,78.0,1232.0,2.1,0.8,0.0,0.0,116.2,0.1,Normal,[],Condition satisfactory.
14.0,13.0,2.9,1.4,12.0,80.0,3.6,0.0,0.9,0.8,10.0,0.5,1.3,0.0,2739.0,10.0,1566.0,76.0,1117.0,2.1,0.7,0.0,0.0,128.7,0.1,Normal,[],Condition satisfactory. 
2.6,31.0,2.2,2.3,11.0,210.0,0.6,0.0,0.6,0.1,9.2,0.4,0.1,1.2,85.0,2.8,21.0,6.1,15.0,3.7,0.0,0.2,0.1,,10.0,Serious,"['CA', 'P', 'B', 'ZN', 'Water']",Water level serious. Visible metal debris. Note: Due to the non-homogenous nature of the sample and small amount of sample we could not preform Kinematic Viscosity testing and cannot recheck results to try confirm Elemental and PQ Analysis. Action should be taken to correct.
15.0,7.0,1.4,0.2,16.0,22.0,0.7,0.0,0.8,0.0,1.7,0.0,0.0,0.0,3538.0,8.4,1117.0,110.0,1469.0,0.2,0.1,0.8,0.0,107.9,0.1,Normal,[],Condition satisfactory.
14.0,7.1,1.4,0.2,24.0,28.0,1.2,0.0,1.6,0.0,1.9,0.0,0.0,0.0,3338.0,9.2,1048.0,101.0,1394.0,0.3,0.1,1.4,0.0,109.7,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
14.0,7.4,1.5,0.3,14.0,29.0,1.4,0.0,0.5,0.0,1.9,0.1,0.0,0.0,3566.0,8.9,1143.0,110.0,1492.0,0.4,0.1,0.8,0.0,107.9,0.1,Normal,[],Condition satisfactory.
14.0,8.3,1.5,0.2,6.0,17.0,0.6,0.0,6.7,0.0,1.6,0.0,0.0,0.0,3784.0,12.0,1182.0,130.0,1562.0,0.4,0.1,1.9,0.0,107.6,0.1,Normal,[],Condition satisfactory.
15.0,7.6,1.4,0.2,6.6,18.0,0.0,0.1,5.6,0.0,1.1,0.0,0.0,0.0,3587.0,11.0,1153.0,110.0,1495.0,0.6,0.1,0.9,0.0,107.4,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
14.0,8.1,1.4,0.3,2.2,21.0,0.0,0.2,6.4,0.0,1.5,0.0,0.0,0.0,3642.0,12.0,1152.0,116.0,1507.0,0.2,0.1,1.8,0.0,108.1,0.1,Normal,[],Condition satisfactory.
18.0,10.0,2.6,0.6,16.0,51.0,1.2,0.0,1.1,0.0,3.0,0.2,0.0,0.0,3566.0,10.0,1187.0,106.0,1502.0,1.1,0.1,1.1,0.0,107.7,0.1,Normal,[],Condition satisfactory.
18.0,9.7,2.4,0.7,10.0,57.0,0.0,0.0,0.8,0.0,3.7,0.2,0.0,0.0,3595.0,9.8,1143.0,107.0,1501.0,1.1,0.1,1.5,0.0,110.4,0.1,Normal,[],Condition satisfactory.
17.0,12.0,2.6,0.8,11.0,59.0,1.3,0.0,0.9,0.0,3.9,0.2,0.0,0.0,3549.0,10.0,1133.0,103.0,1492.0,1.8,0.1,1.6,0.0,110.3,0.1,Normal,[],Condition satisfactory.
16.0,7.3,2.2,0.4,13.0,26.0,0.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,3324.0,8.4,1078.0,105.0,1360.0,0.7,0.1,0.0,0.0,111.5,0.1,Normal,[],Condition satisfactory.
17.0,8.8,2.2,0.5,23.0,40.0,1.4,0.5,0.0,0.0,2.0,0.1,0.1,0.0,3608.0,9.5,1108.0,110.0,1453.0,0.6,0.2,0.0,0.0,108.3,0.1,Normal,[],Condition satisfactory.
15.0,8.9,1.8,0.5,7.7,26.0,0.0,0.0,0.2,0.0,1.9,0.2,0.1,0.0,3231.0,8.7,1049.0,97.0,1332.0,0.6,0.2,0.0,0.1,111.3,0.1,Serious,[],Visible debris present. The ferrous debris result is higher than expected and suggests the presence of wear debris from a gear/ shaft type material. Advice : Check for abnormal noise / heat & feedback findings. Sample secondary sampling points (if applicable) to pinpoint fault. 
15.0,7.1,2.6,0.4,7.5,20.0,105.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,3455.0,7.9,1075.0,101.0,1397.0,0.1,0.6,0.4,0.0,107.8,0.1,Caution,['PB'],Lead suggests possible bearing material wear. Advice : Resample at recommended sampling interval to follow trends.
11.0,8.0,2.4,0.5,8.0,52.0,2.3,0.0,0.6,0.0,2.6,0.1,0.0,0.0,2549.0,7.0,1364.0,77.0,1063.0,0.9,0.2,0.3,0.0,129.0,0.1,Normal,[],Condition satisfactory.
11.0,10.0,2.0,0.5,6.4,40.0,1.7,0.0,0.5,0.0,2.0,0.1,0.0,0.0,2514.0,8.0,1503.0,74.0,1024.0,0.7,0.2,0.9,0.0,130.2,0.1,Normal,[],Condition satisfactory.
10.0,7.2,1.5,0.5,18.0,43.0,1.5,0.2,0.6,0.0,1.7,0.1,0.0,0.0,2423.0,6.6,1465.0,73.0,999.0,0.9,0.3,0.6,0.0,126.7,0.1,Normal,[],Condition satisfactory.
15.0,9.0,1.7,0.4,5.7,29.0,0.0,0.3,0.8,0.0,1.4,0.0,0.0,0.0,3590.0,10.0,1156.0,107.0,1504.0,0.6,0.1,1.2,0.0,108.3,0.1,Normal,[],Condition satisfactory.
13.0,9.5,1.6,0.5,9.4,33.0,0.4,0.0,0.7,0.0,2.2,0.0,0.0,0.0,3559.0,10.0,1168.0,108.0,1502.0,1.0,0.1,1.1,0.0,107.6,0.1,Normal,[],Condition satisfactory.
13.0,14.0,2.7,0.6,7.7,46.0,1.6,0.0,0.6,0.0,2.0,1.9,0.1,0.0,3612.0,10.0,1124.0,110.0,1512.0,1.4,0.1,1.1,0.0,110.0,0.1,Normal,[],Condition satisfactory.
6.0,15.0,3.9,1.0,73.0,582.0,1.1,3.5,2.0,0.0,4.8,0.3,0.2,0.9,3278.0,13.0,1062.0,98.0,1314.0,3.5,0.0,1.8,0.1,103.8,0.1,Normal,[],Condition satisfactory.
7.4,16.0,3.6,0.8,58.0,484.0,1.1,2.2,2.1,0.0,4.7,0.1,0.2,0.3,3453.0,15.0,1108.0,105.0,1394.0,1.0,0.0,1.4,0.1,107.1,0.1,Normal,[],Condition satisfactory.
15.0,7.1,1.4,0.4,8.6,56.0,1.1,0.7,0.9,0.1,1.9,0.1,0.0,0.0,3457.0,10.0,1080.0,107.0,1400.0,0.5,0.0,0.5,0.0,108.5,0.1,Normal,[],Condition satisfactory.
14.0,8.6,1.5,0.3,12.0,34.0,0.0,0.0,3.4,0.0,1.6,0.1,0.1,0.0,3518.0,22.0,1112.0,107.0,1420.0,0.6,0.0,0.9,0.0,111.4,0.1,Normal,[],Condition satisfactory.
15.0,8.5,1.3,0.5,20.0,46.0,1.7,0.2,1.0,0.0,2.0,0.1,0.0,0.1,3487.0,11.0,1100.0,105.0,1435.0,0.7,0.0,0.4,0.0,109.9,0.1,Normal,[],Condition satisfactory. 
14.0,4.9,0.8,0.2,1.2,22.0,48.0,0.3,1.5,0.0,0.3,0.0,0.0,0.1,3422.0,9.4,1079.0,101.0,1398.0,0.1,0.1,0.3,0.0,111.7,0.1,Caution,[],Visible debris present. High viscosity noted. Since no abnormal wear; contamination may have occured at sampling. Advice : Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report. Resample at the next service intervention. 
14.0,8.6,1.6,0.7,7.3,49.0,0.6,0.1,0.4,0.0,3.3,0.1,0.1,0.1,3408.0,10.0,1095.0,105.0,1395.0,1.2,0.0,0.2,0.0,109.2,0.1,Normal,[],Condition satisfactory.
14.0,9.7,1.8,0.7,16.0,58.0,0.7,0.6,0.6,0.0,4.3,0.3,0.1,0.1,3485.0,11.0,1105.0,105.0,1440.0,1.5,0.1,0.2,0.0,107.2,0.1,Normal,[],Condition satisfactory.
14.0,4.6,1.1,0.2,2.0,21.0,73.0,0.1,7.6,0.0,0.4,0.0,0.0,0.2,3609.0,9.4,1128.0,109.0,1490.0,0.1,0.6,0.2,0.1,109.0,0.1,Caution,['PB'],Visible debris present. The level of Lead suggests possible wear of a bearing or bush type material. Advice : Resample at the next service intervention.
14.0,10.0,2.1,0.8,24.0,61.0,2.6,0.7,0.8,0.1,4.0,0.2,0.1,0.2,3614.0,11.0,1095.0,111.0,1464.0,1.4,0.1,1.2,0.1,110.5,0.1,Normal,[],Condition satisfactory.
8.0,239.0,5.4,0.9,67.0,599.0,0.2,3.3,2.5,0.0,5.2,0.2,0.2,0.6,3614.0,16.0,1115.0,113.0,1435.0,1.3,0.0,2.3,0.1,90.1,0.1,Serious,['SI'],Visible debris present. Silicon evident suggesting possible ingress of environmental contamination or a Silicon based product (e.g.  Silicon grease/assembly compound). Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention.
10.0,9.8,2.9,1.2,64.0,254.0,1.8,3.1,1.7,0.9,2.9,0.3,0.7,0.0,3320.0,15.0,1098.0,93.0,1386.0,2.1,0.6,1.2,0.6,107.7,0.1,Normal,[],Condition satisfactory.
10.0,8.9,2.5,1.3,57.0,221.0,0.0,2.3,2.1,0.8,2.8,0.3,0.7,0.0,3478.0,17.0,1104.0,94.0,1393.0,0.6,0.6,1.6,0.5,107.6,0.1,Normal,[],Condition satisfactory.
12.0,11.0,1.8,0.9,10.0,30.0,0.0,0.0,2.5,0.9,0.9,0.4,0.7,0.0,3542.0,20.0,1106.0,100.0,1432.0,0.5,0.6,0.0,0.5,113.9,0.1,Normal,[],Condition satisfactory.
11.0,8.0,2.2,1.0,19.0,107.0,1.6,1.1,2.7,0.9,1.2,0.3,0.7,0.0,3572.0,15.0,1117.0,97.0,1444.0,0.4,0.7,1.5,0.5,108.0,0.1,Normal,[],Condition satisfactory.
13.0,15.0,5.2,1.1,58.0,142.0,1.5,2.2,2.0,0.9,1.9,0.5,0.7,0.0,3532.0,15.0,1118.0,95.0,1415.0,0.7,0.7,2.7,0.5,107.1,0.1,Normal,[],Condition satisfactory.
12.0,15.0,3.5,0.9,2.1,27.0,0.0,0.0,2.1,0.9,1.0,0.4,0.7,0.0,3619.0,16.0,1120.0,100.0,1465.0,0.7,0.6,2.3,0.6,110.1,0.1,Normal,[],Condition satisfactory.
23.0,19.0,5.4,1.2,70.0,69.0,0.0,1.4,3.3,0.9,1.7,0.6,0.7,0.0,3526.0,18.0,1113.0,96.0,1433.0,0.8,0.9,14.0,0.5,104.6,0.1,Normal,['K'],Condition satisfactory.
10.0,22.0,6.5,1.8,98.0,152.0,0.0,2.4,2.1,0.9,4.9,0.8,0.7,0.0,2560.0,12.0,1399.0,72.0,1067.0,1.2,0.7,1.8,0.5,120.1,0.1,Normal,[],Condition satisfactory.
11.0,13.0,7.4,2.3,86.0,241.0,0.0,1.4,2.0,0.8,6.8,0.8,0.7,0.0,2508.0,12.0,1428.0,71.0,1040.0,1.6,0.6,1.8,0.5,120.3,0.1,Normal,[],Condition satisfactory.
23.0,18.0,5.3,1.1,44.0,70.0,0.0,1.1,3.2,0.8,1.3,0.6,0.7,0.0,3488.0,20.0,1099.0,99.0,1390.0,0.8,0.9,14.0,0.5,104.1,0.1,Serious,['K'],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
22.0,16.0,4.1,1.0,30.0,53.0,0.0,0.0,3.3,0.9,1.0,0.6,0.7,0.0,3664.0,19.0,1116.0,97.0,1427.0,0.7,0.9,12.0,0.5,101.7,0.1,Normal,['K'],Condition satisfactory.
22.0,4.8,13.0,0.1,4.5,29.0,7.3,2.5,0.7,1.0,0.7,0.7,0.7,0.1,76.0,0.3,284.0,108.0,9.3,0.1,0.3,3.6,0.3,36.3,0.1,Caution,"['CA', 'P', 'ZN']",Viscosity not consistent with stated grade / application type. Sodium suggests possible environmental contamination or contamination with a sodium based product. Wear appears satisfactory. Advice : Resample at the next service intervention. 
12.0,9.8,2.8,1.0,54.0,483.0,1.1,2.0,1.1,1.0,4.2,0.7,0.7,0.2,3240.0,9.8,1019.0,87.0,1313.0,0.8,0.2,1.8,0.4,95.8,0.1,Normal,[],Condition satisfactory.
11.0,11.0,3.5,1.2,49.0,492.0,0.9,2.2,2.2,1.0,4.3,0.7,0.7,0.3,3166.0,13.0,1028.0,88.0,1279.0,0.9,0.2,1.9,0.4,84.5,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
11.0,10.0,3.3,1.0,40.0,362.0,0.9,1.9,2.1,1.0,3.7,0.7,0.7,0.3,3169.0,13.0,1012.0,90.0,1293.0,0.6,0.2,1.9,0.4,83.7,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
13.0,7.6,1.3,0.4,2.7,24.0,0.0,0.0,0.2,0.0,1.3,0.1,0.0,0.1,3519.0,11.0,1071.0,101.0,1362.0,0.2,0.1,0.8,0.0,108.0,0.1,Normal,[],Condition satisfactory.
14.0,10.0,1.7,0.4,5.7,35.0,0.4,0.0,0.1,0.0,1.7,0.2,0.1,0.1,3824.0,11.0,1138.0,113.0,1489.0,0.4,0.1,0.8,0.0,112.9,0.1,Normal,[],Condition satisfactory.
13.0,3.7,0.7,0.2,0.7,10.0,18.0,0.0,1.4,0.0,0.2,0.0,0.0,0.1,3559.0,8.5,1106.0,103.0,1424.0,0.0,0.2,0.8,0.0,118.8,0.1,Normal,[],Condition satisfactory.
13.0,8.6,1.3,0.4,8.5,27.0,1.0,0.0,0.0,0.0,1.4,0.1,0.0,0.1,3713.0,11.0,1115.0,110.0,1458.0,0.5,0.0,1.3,0.0,112.3,0.1,Normal,[],Condition satisfactory.
15.0,6.8,1.2,0.3,6.1,29.0,0.3,0.0,4.1,0.0,0.8,0.1,0.1,0.2,3718.0,15.0,1183.0,126.0,1475.0,0.3,0.2,2.0,0.0,108.7,0.1,Normal,[],Condition satisfactory.
15.0,9.8,2.3,0.3,13.0,48.0,0.0,0.0,4.0,0.0,1.2,0.1,0.0,0.1,3763.0,16.0,1178.0,123.0,1497.0,0.4,0.1,2.0,0.0,108.4,0.1,Normal,[],Condition satisfactory.
16.0,10.0,1.9,0.4,25.0,60.0,0.2,0.0,3.9,0.0,1.2,0.1,0.1,0.2,3783.0,15.0,1204.0,127.0,1514.0,0.3,0.2,2.3,0.0,109.5,0.1,Normal,[],Condition satisfactory.
16.0,11.0,5.8,1.0,34.0,148.0,0.0,0.0,0.2,0.0,2.0,0.2,0.1,0.3,3236.0,8.6,1034.0,101.0,1320.0,0.3,0.1,1.0,0.0,110.5,0.1,Normal,[],Condition satisfactory.
17.0,10.0,7.1,1.0,41.0,145.0,1.2,0.1,0.8,0.0,1.8,0.2,0.1,0.1,3298.0,9.3,1060.0,103.0,1347.0,0.5,0.1,1.4,0.0,107.1,0.1,Normal,[],Condition satisfactory.
12.0,8.6,5.7,1.1,21.0,111.0,0.5,0.8,0.7,0.0,1.3,0.2,0.1,0.3,2012.0,8.6,752.0,77.0,922.0,0.3,0.1,1.3,0.1,74.4,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
13.0,10.0,4.3,1.1,28.0,129.0,1.6,0.6,3.1,0.0,3.4,0.6,0.0,0.1,2946.0,13.0,1395.0,97.0,1200.0,0.6,0.1,1.4,0.0,121.7,0.1,Normal,[],Condition satisfactory.
13.0,11.0,4.3,1.0,28.0,132.0,0.7,0.4,3.3,0.0,3.5,0.6,0.0,0.0,2968.0,13.0,1410.0,98.0,1208.0,0.6,0.1,1.8,0.0,123.7,0.1,Normal,[],Condition satisfactory.
13.0,10.0,4.7,1.1,29.0,146.0,1.6,0.0,3.3,0.0,3.8,0.6,0.0,0.0,2833.0,13.0,1424.0,95.0,1140.0,0.6,0.1,1.7,0.0,125.2,0.1,Normal,[],Condition satisfactory.
12.0,10.0,5.9,0.4,18.0,66.0,1.1,0.5,2.8,1.2,1.4,0.8,0.6,0.1,3310.0,18.0,1028.0,95.0,1393.0,0.2,0.2,2.1,0.2,105.1,0.1,Normal,['AG'],Condition satisfactory.
11.0,9.6,4.6,0.4,20.0,69.0,1.1,0.5,2.6,1.1,1.4,0.7,0.6,0.1,3252.0,17.0,1075.0,93.0,1364.0,0.2,0.2,2.3,0.2,106.2,0.1,Normal,[],Condition satisfactory.
11.0,9.7,4.6,0.4,19.0,75.0,1.4,0.5,2.6,1.1,1.5,0.6,0.6,0.0,3235.0,17.0,995.0,94.0,1360.0,0.2,0.2,2.1,0.2,104.0,0.1,Normal,[],Condition satisfactory.
8.5,11.0,6.3,1.1,21.0,142.0,0.7,0.8,4.3,1.1,2.1,0.8,0.6,0.0,2105.0,7.4,766.0,62.0,1065.0,0.3,0.2,2.2,0.3,71.0,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
7.2,9.4,5.0,0.7,15.0,127.0,0.8,0.5,3.2,1.1,1.8,0.8,0.6,0.0,1433.0,6.3,618.0,43.0,866.0,0.2,0.2,2.0,0.3,58.8,0.1,Serious,[],Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends.
14.0,19.0,9.7,1.9,100.0,400.0,1.9,2.2,4.6,1.1,4.3,1.1,0.6,0.0,3253.0,10.0,988.0,96.0,1334.0,0.6,0.2,3.4,0.3,102.7,0.1,Normal,[],Condition satisfactory.
9.9,11.0,3.2,0.6,42.0,85.0,1.8,0.6,1.6,0.0,2.2,0.3,0.0,0.3,3310.0,11.0,1157.0,108.0,1356.0,0.4,0.1,1.5,0.2,107.4,0.1,Normal,[],Condition satisfactory.
10.0,13.0,4.0,0.9,40.0,109.0,1.4,0.3,1.3,0.0,2.9,0.4,0.0,0.0,3010.0,9.5,1262.0,96.0,1243.0,0.2,0.0,1.5,0.1,112.5,0.1,Normal,[],Condition satisfactory.
16.0,8.0,2.3,0.3,11.0,40.0,1.0,0.0,4.6,0.0,1.0,0.0,0.0,0.1,3751.0,16.0,1228.0,123.0,1530.0,0.0,0.1,1.9,0.0,109.4,0.1,Normal,[],Condition satisfactory.
14.0,9.5,4.0,0.7,36.0,107.0,0.8,0.0,3.7,0.0,3.0,0.2,0.0,0.2,3247.0,14.0,1362.0,110.0,1303.0,0.3,0.1,1.8,0.0,118.5,0.1,Normal,[],Condition satisfactory.
14.0,12.0,3.7,0.7,26.0,86.0,1.2,0.0,3.6,0.0,2.7,0.2,0.0,0.1,3235.0,14.0,1420.0,106.0,1315.0,0.2,0.1,2.1,0.0,118.2,0.1,Normal,[],Condition satisfactory.
14.0,9.1,3.5,0.6,24.0,69.0,0.9,0.0,3.2,0.0,2.2,0.2,0.1,0.7,3216.0,13.0,1356.0,104.0,1306.0,0.2,0.1,1.8,0.0,119.5,0.1,Serious,[],Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
9.3,10.0,3.5,0.1,0.8,33.0,12.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,1093.0,2.7,589.0,152.0,459.0,0.0,0.0,2.9,0.0,32.8,0.1,Serious,[],Visible debris present. Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
15.0,9.9,3.4,0.4,22.0,46.0,1.3,0.0,4.8,0.0,1.4,0.1,0.0,0.3,3778.0,15.0,1198.0,121.0,1539.0,0.0,0.1,2.1,0.1,107.5,0.1,Serious,[],Visible debris present (metal / metal-like particles). Advice : Possible sampling problem; advise resample to confirm.
15.0,9.1,2.3,0.4,9.9,36.0,1.3,0.0,4.5,0.1,1.1,0.1,0.1,0.2,3513.0,15.0,1145.0,113.0,1438.0,0.1,0.2,1.6,0.1,110.4,0.1,Normal,[],Condition satisfactory.
11.0,12.0,4.3,1.0,10.0,86.0,2.2,0.0,2.3,1.0,14.0,0.7,0.5,0.0,2501.0,9.3,1428.0,76.0,1083.0,2.5,0.2,2.3,0.3,129.5,0.1,Normal,[],Condition satisfactory.
11.0,8.8,3.0,0.7,10.0,60.0,2.1,0.0,2.1,1.0,8.8,0.7,0.5,0.0,2598.0,9.6,1387.0,79.0,1117.0,1.8,0.2,2.2,0.3,129.5,0.1,Normal,[],Condition satisfactory.
11.0,12.0,4.1,1.3,14.0,128.0,3.8,0.0,2.2,1.0,12.0,0.7,0.5,0.0,2490.0,9.3,1450.0,75.0,1069.0,2.2,0.3,2.9,0.3,140.1,0.1,Serious,[],Very high viscosity. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
