NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Interpretation
2.5,1.5,3.0,0.1,1.0,1.8,6.5,0.0,0.7,0.0,0.2,0.0,0.1,0.0,2502.0,7.9,584.0,2.6,8.8,0.4,0.0,17.0,0.0,,,Caution,Sample appears inconsistent with a coolant sample; appears consistent with oil. Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.      
4.3,4.5,5.1,0.3,4.3,4.2,13.0,0.8,0.2,0.0,0.3,0.2,1.3,0.0,2572.0,9.9,588.0,1.6,9.7,0.4,0.4,22.0,0.0,,,Caution,Sample appears inconsistent with a coolant sample; appears consistent with oil. Possible sampling problem; advise resample to confirm. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.       
20.0,2.9,5.6,1.5,12.0,12.0,2.5,0.4,3.4,,0.7,0.1,0.2,0.0,3122.0,54.0,641.0,4.5,57.0,0.3,0.1,25.0,0.6,132.6,0.1,Caution,Visible debris present. Abnormal sodium & potassium suggest coolant contamination. Wear appears satisfactory. Advice : Pressure check coolant system (if applicable) and feedback findings before next sample. Resample at the next service intervention.
3.0,7.0,2.4,0.3,3.6,3.3,0.9,0.7,0.5,0.0,0.4,0.1,0.2,0.0,2634.0,13.0,636.0,8.4,11.0,0.7,0.3,25.0,0.0,106.5,0.1,Normal,Condition satisfactory. 
0.0,0.0,0.1,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,323.0,1.2,0.0,0.0,1.0,0.0,0.0,218.5,0.1,Normal,Condition satisfactory.
2.8,3.1,0.2,1.1,4.4,145.0,1.2,0.0,0.0,0.1,0.9,0.1,0.0,4.1,69.0,1.5,246.0,3.0,83.0,0.7,0.2,2.8,0.0,246.8,10.0,Serious,Water contamination. Non-homogenous appearance. Visible debris present. Wear appears satisfactory. Advice : Change fluid and check unit for source of contamination.
76.0,7.5,263.0,19.0,6.7,1367.0,0.2,0.6,1.0,0.0,26.0,0.0,0.1,31.0,108.0,4.6,7.5,0.6,5.7,1.0,0.2,0.5,0.0,5.5,0.1,Normal,No application details known. Data Only. No diagnosis provided. Advice : Confirm application. 
78.0,10.0,402.0,24.0,7.3,1715.0,0.0,0.0,0.7,0.0,29.0,0.1,0.2,30.0,114.0,5.3,8.0,1.0,5.6,1.5,0.2,0.6,0.0,5.6,0.1,Normal,Data Only. No diagnosis provided. 
93.0,9.8,353.0,23.0,7.9,1582.0,0.6,0.0,1.0,0.0,30.0,0.1,0.2,30.0,115.0,6.8,9.7,1.2,5.9,1.3,0.2,0.8,0.0,5.7,0.1,Normal,Data Only. No diagnosis provided. 
7.2,1.2,76.0,1.1,0.5,79.0,0.3,0.9,0.3,0.0,1.3,0.1,0.0,0.1,4.2,1.6,7.3,1.0,1.7,0.0,0.1,0.3,0.0,5.5,0.1,Normal,Data Only. No diagnosis provided. 
5.7,1.0,27.0,0.9,0.4,59.0,0.4,0.0,0.1,0.0,1.1,0.0,0.0,0.1,7.8,0.8,11.0,0.0,4.7,0.2,0.1,0.0,0.0,5.1,0.1,Normal,Data Only. No diagnosis provided. 
76.0,8.5,41.0,19.0,7.1,83.0,0.6,1.4,0.9,0.0,26.0,0.1,0.2,34.0,120.0,3.3,8.3,1.7,6.3,1.0,0.2,0.5,0.0,5.2,0.1,Normal,Data Only. No diagnosis provided.  
73.0,9.4,415.0,23.0,7.6,1435.0,0.5,0.0,0.5,0.0,22.0,0.1,0.2,35.0,98.0,6.9,9.3,2.1,4.6,1.7,0.2,0.3,0.0,5.4,0.1,Normal,Data Only. No diagnosis provided. 
60.0,8.5,413.0,21.0,6.9,1401.0,0.0,0.0,0.2,0.0,21.0,0.1,0.1,29.0,111.0,7.7,11.0,1.9,6.6,1.4,0.1,0.3,0.0,5.5,0.1,Normal,Data Only. No diagnosis provided. 
80.0,9.8,475.0,23.0,8.7,1532.0,0.0,0.4,1.1,0.0,26.0,0.2,0.3,26.0,128.0,5.0,13.0,4.4,11.0,1.6,0.4,1.0,0.2,6.6,0.1,Normal,Data Only. No diagnosis provided. 
48.0,7.8,361.0,20.0,6.1,1291.0,0.1,0.0,0.9,0.0,20.0,0.1,0.2,21.0,112.0,5.8,18.0,1.3,17.0,1.4,0.2,0.8,0.0,4.9,0.1,Normal,Data Only. No diagnosis provided. 
55.0,9.6,397.0,,7.2,1514.0,,0.0,,,,,,,123.0,7.4,38.0,,7.3,,,0.7,,,,Normal,Data Only. No diagnosis provided. 
71.0,7.0,500.0,34.0,9.2,1974.0,0.9,0.8,1.4,0.0,31.0,0.5,0.1,51.0,212.0,6.2,24.0,19.0,30.0,3.0,0.8,2.2,0.0,6.1,0.1,Normal,Data Only. No diagnosis provided.
1.4,25.0,0.0,0.2,1.5,21.0,0.9,1.7,0.2,0.0,0.2,0.0,0.0,5.5,7.7,0.8,476.0,3.8,23.0,0.1,0.7,0.7,0.0,194.1,0.1,Normal,Condition satisfactory.
0.6,24.0,0.0,0.1,1.4,9.9,0.1,1.6,0.0,0.0,0.2,0.0,0.0,1.1,0.0,0.7,612.0,2.1,25.0,0.0,2.6,0.3,0.0,208.9,0.1,Normal,Condition satisfactory.
1.6,0.5,3.0,0.0,3.9,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.5,2.8,0.1,132.0,1.1,44.0,0.1,0.2,0.4,0.0,49.9,0.1,Normal,Condition satisfactory.
72.0,5.9,0.7,0.2,116.0,18.0,2.2,9.5,0.0,0.0,0.3,0.1,0.0,0.8,3.2,0.5,512.0,0.2,6.3,0.3,0.2,0.6,0.0,231.0,0.1,Serious,Visible debris present. Sodium suggests possible environmental contamination or contamination with a sodium based product. The levels of Copper and Tin suggest possible wear of a bearing or bush type material. Advice : Change fluid and check unit for source of contamination. 
2.9,12.0,2.7,0.2,6.6,1.4,1.0,0.5,0.0,,0.2,0.0,0.1,0.0,2220.0,5.5,519.0,2.5,3.7,0.2,0.0,16.0,0.0,109.4,0.1,Normal,Condition satisfactory. 
1.7,23.0,2.9,0.2,11.0,2.0,0.9,0.4,1.8,,0.3,0.0,0.1,0.0,2891.0,6.3,601.0,25.0,74.0,0.0,0.0,19.0,0.0,119.3,0.1,Normal,Condition satisfactory. 
4.5,1.4,0.6,0.7,0.2,12.0,0.0,0.7,1.1,0.0,0.7,0.8,0.5,0.5,157.0,1.2,209.0,5.4,6.3,0.6,2.4,1.1,0.5,156.4,0.1,Normal,Condition satisfactory.
0.9,2.5,0.2,0.0,0.3,8.9,0.0,1.1,0.6,0.0,0.6,0.0,0.0,2.4,12.0,1.1,307.0,0.9,11.0,0.0,1.1,0.0,0.0,127.3,0.1,Normal,Condition satisfactory.
0.0,0.8,0.0,0.0,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,330.0,0.3,1.1,0.0,0.0,0.4,0.0,319.9,0.1,Serious,Wear appears satisfactory. Viscosity not consistent with stated grade / application type. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
1.7,1777.0,2.7,0.1,0.0,0.8,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.8,0.8,1.9,0.0,0.0,0.0,98.6,0.1,Serious,Visible debris present. Silicon evident suggesting possible ingress of environmental contamination or a Silicon based product (e.g.  Silicon grease/assembly compound). Wear appears satisfactory. Advice : Action should be taken to correct - Consider fluid clean/change and/or filter change.
0.0,1.2,0.0,0.8,1.0,0.4,2.2,3.6,1.3,1.3,0.3,0.7,0.8,0.1,40.0,3.3,217.0,4.1,344.0,0.6,1.0,0.0,0.7,31.8,0.1,Normal,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period. No apparent reason from this analysis for reported failure advise check unit. 
1.7,3.8,0.1,0.0,0.3,0.9,0.5,0.7,0.0,0.1,0.1,0.0,0.0,1.6,8.6,0.0,8.8,1.2,69.0,0.0,0.1,0.2,0.2,69.0,0.1,Caution,Viscosity not consistent with stated grade / application type. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
8.8,48.0,0.3,0.8,0.5,9.7,0.6,0.0,0.6,0.0,1.2,0.9,0.1,2.4,28.0,0.3,228.0,6.0,17.0,1.2,2.0,1.4,0.4,218.3,0.1,Normal,Condition satisfactory.
0.8,0.3,0.1,0.1,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,67.0,0.8,319.0,0.3,437.0,0.0,0.1,0.0,0.1,47.3,0.1,Normal,Condition satisfactory.
0.0,3.0,0.0,0.0,15.0,4.3,0.0,0.4,0.2,0.0,0.1,0.0,0.0,11.0,42.0,0.0,328.0,1.3,426.0,0.0,0.0,6.2,0.0,31.8,0.1,Normal,Condition satisfactory.
0.0,0.7,0.0,0.0,1.6,1.1,0.1,4.6,0.3,0.0,0.0,0.0,0.0,0.4,29.0,1.0,369.0,0.3,436.0,0.0,0.0,0.0,0.0,35.1,0.1,Normal,Condition satisfactory.
0.8,1.2,0.0,0.0,2.5,1.8,0.8,3.7,0.9,0.0,0.1,0.0,0.0,0.6,77.0,1.2,358.0,0.0,503.0,0.0,0.1,0.3,0.0,32.7,0.1,Normal,Condition satisfactory.
0.4,15.0,0.1,0.0,11.0,0.4,4.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,14.0,0.0,249.0,0.0,309.0,0.1,0.1,0.0,0.0,33.9,0.1,Normal,Condition satisfactory.
3.9,3.5,0.0,0.1,16.0,4.1,0.5,0.8,0.1,0.0,0.2,0.0,0.0,10.0,41.0,0.5,305.0,1.6,415.0,0.2,0.1,6.2,0.1,31.5,0.1,Normal,Condition satisfactory.
0.3,6.0,0.4,0.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,9.9,0.3,250.0,0.0,178.0,0.0,0.0,0.0,0.0,48.2,0.1,Serious,High viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
0.0,14.0,0.3,0.0,11.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.6,240.0,0.8,298.0,0.0,0.0,0.0,0.0,34.4,0.1,Normal,Condition satisfactory.
0.8,9.4,6.2,0.2,1.3,6.4,0.0,0.3,50.0,0.1,0.2,0.0,0.9,0.1,1397.0,1000.0,733.0,134.0,937.0,0.1,0.0,0.5,0.0,90.8,0.1,Normal,Condition satisfactory.
0.4,14.0,9.6,0.7,0.9,15.0,0.0,1.0,48.0,0.1,0.3,0.0,0.8,0.0,1334.0,936.0,686.0,121.0,916.0,0.4,0.0,0.4,0.0,90.1,0.1,Normal,Condition satisfactory.
6.6,11.0,5.2,0.8,1.3,16.0,1.3,0.5,121.0,0.0,0.5,0.0,0.0,0.0,3663.0,13.0,1024.0,118.0,1235.0,0.0,0.0,2.6,0.0,84.4,0.1,Normal,Condition satisfactory.
7.6,8.3,3.2,1.0,2.4,133.0,1.1,0.0,0.8,0.0,2.7,0.1,0.1,0.1,620.0,17.0,244.0,171.0,91.0,0.0,0.2,0.8,1.1,32.3,0.1,Serious,ISO cleanliness particle count high. The level of Iron is higher than expected and suggests wear of rod/ pump materials. Action should be taken to correct - Consider fluid change and/or filter change. Additionally consider check unit for abnormal noise or vibration & feedback inspection findings.
2.9,6.8,4.8,1.0,6.4,32.0,0.9,0.0,95.0,0.0,0.5,0.0,0.4,0.1,2497.0,26.0,1031.0,56.0,1337.0,2.1,0.0,0.9,0.3,80.1,0.1,Normal,Condition satisfactory.
1.9,9.4,4.2,0.8,0.7,30.0,0.1,0.0,112.0,0.0,0.6,0.0,0.0,0.0,4063.0,27.0,1090.0,94.0,1337.0,0.2,0.1,3.0,0.0,86.2,0.1,Normal,Condition satisfactory.
15.0,20.0,8.3,0.9,6.8,70.0,6.1,0.0,1.3,1.2,1.2,0.8,0.9,871.0,326.0,2.7,598.0,63.0,665.0,1.5,0.2,2.9,1.3,31.2,0.1,Serious,The level of Iron is higher than expected and suggests wear of rod/ pump materials. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
8.6,6.3,5.4,0.7,6.5,45.0,6.1,1.0,0.9,0.0,1.2,0.9,0.1,1.0,189.0,1.3,487.0,186.0,3.9,0.6,1.9,2.3,0.3,38.1,0.1,Normal,Condition satisfactory.
1.1,2.2,0.1,0.2,0.5,3.3,0.5,0.0,0.3,0.0,0.1,0.0,0.0,0.4,46.0,0.5,281.0,1.9,401.0,0.1,0.0,0.2,0.0,46.1,0.1,Normal,Condition satisfactory.
0.0,2.1,0.8,0.0,0.5,2.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.5,122.0,1.7,56.0,0.0,1.2,1.9,0.0,47.2,0.1,Serious,Wear appears satisfactory. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
3.9,6.8,17.0,5.2,160.0,58.0,3.8,2.0,3.1,0.5,4.3,0.1,0.1,0.8,2452.0,66.0,647.0,19.0,815.0,0.8,0.3,5.2,0.0,71.0,0.1,Serious,The levels of Iron and Aluminium suggest possible wear of the cylinder bores and piston. Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Resample at recommended sampling interval to follow trends.
5.6,12.0,27.0,2.2,26.0,42.0,0.5,2.2,40.0,0.8,11.0,0.5,0.5,0.0,1424.0,864.0,687.0,85.0,921.0,1.8,0.2,4.0,0.4,67.5,0.1,Serious,The level of Aluminium appears high and suggests the presence of wear debris from a piston type material. Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. The level of Manganese is higher than expected and may indicate the removal of anti-wear or an anti-corrossion type coating. Wear rates appear satisfactory for wear in period. Advice : Change oil if not changed when sampled.
6.2,7.9,7.3,0.7,4.9,13.0,0.6,0.7,123.0,0.0,2.0,0.0,0.3,0.2,3904.0,131.0,1136.0,141.0,1410.0,0.4,0.0,2.1,0.0,88.8,0.1,Normal,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period.
6.7,3.0,1.1,1.3,0.6,1.8,0.4,1.0,1.2,1.6,0.9,1.2,1.2,0.3,9.1,0.1,88.0,3.2,36.0,1.1,0.2,1.7,1.2,47.6,0.1,Normal,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period.
2.1,13.0,5.3,5.2,5.4,1836.0,0.0,2.5,144.0,0.0,18.0,0.2,1.0,0.1,4573.0,17.0,1204.0,112.0,1518.0,3.0,0.4,0.0,0.2,87.8,0.1,Serious,The levels of Iron and Manganese suggest possible wear of the cylinder bores. No significant contamination. Advice :Submit sample of machinery coolant/cooling fluids for analysis to confirm if lubricant findings related to coolant condition. Change oil if not changed when sampled. Resample at recommended sampling interval to follow trends.
2.0,9.9,9.0,1.0,7.4,25.0,0.6,0.5,128.0,0.0,2.5,0.1,0.2,0.2,3971.0,136.0,1168.0,124.0,1465.0,0.3,0.0,1.2,0.0,86.4,0.1,Normal,Condition satisfactory.
0.0,1.8,0.8,0.3,0.3,2.4,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.7,12.0,0.4,93.0,0.3,62.0,0.0,0.0,0.1,0.0,39.4,0.1,Serious,Low viscosity noted. Wear appears satisfactory. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
2.8,7.7,31.0,7.0,178.0,78.0,2.9,0.9,0.4,0.6,6.0,0.1,0.1,0.6,2405.0,70.0,651.0,15.0,816.0,1.3,0.2,12.0,0.0,71.4,0.1,Serious,The levels of Iron and Aluminium suggest possible wear of the cylinder bores and piston. Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Change oil if not changed when sampled.
13.0,21.0,2.7,5.2,25.0,488.0,4.6,0.5,4.9,0.0,5.0,0.3,0.1,0.0,3608.0,14.0,1150.0,119.0,1433.0,5.9,0.1,1.4,0.1,107.0,0.1,Normal,Wear appears satisfactory. No significant contamination. Advise monitor at the recommended sampling period.
3.1,9.4,11.0,3.0,248.0,36.0,4.4,0.5,82.0,1.0,2.0,0.1,0.1,0.2,3968.0,23.0,1087.0,256.0,1336.0,0.5,0.1,4.0,0.0,85.4,0.1,Serious,Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Resample at recommended sampling interval to follow trends.
3.1,9.3,3.0,0.3,35.0,11.0,0.0,2.9,122.0,0.0,1.1,0.1,0.0,0.0,3931.0,99.0,1100.0,144.0,1427.0,0.5,0.1,2.2,0.0,84.0,0.1,Caution,Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Resample at recommended sampling interval to follow trends.
2.2,7.2,3.1,0.3,10.0,5.3,0.0,0.9,66.0,0.0,0.9,0.0,0.1,0.1,4583.0,27.0,1164.0,475.0,1446.0,0.2,0.0,0.3,0.0,85.7,0.1,Normal,Condition satisfactory.
1.7,6.6,3.3,0.7,3.5,21.0,0.4,1.1,69.0,0.0,0.7,0.1,0.0,0.0,2047.0,728.0,840.0,97.0,1084.0,0.5,0.2,1.8,0.0,71.5,0.1,Normal,Condition satisfactory.
2.2,8.7,5.7,2.1,154.0,23.0,0.0,1.1,137.0,0.6,1.2,0.1,0.0,0.0,4413.0,18.0,1167.0,98.0,1539.0,0.3,0.1,4.4,0.0,88.2,0.1,Serious,Copper present; but not significant and possibly normal leaching from copper based components or copper oil cooler if used. Advice : Resample at recommended sampling interval to follow trends.
1.3,2.7,0.1,0.9,1.3,4.7,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.8,46.0,1.1,270.0,2.0,398.0,0.3,0.0,0.3,0.1,45.9,0.1,Serious,Wear appears satisfactory. ISO cleanliness code suggests fluid should be cleaned/filtered. If cleaning not feasible then consider fluid change. If cleanliness not improved on next sample consider checking filtration system if fitted.
2.0,3.3,1.1,0.4,0.8,4.4,0.0,0.0,0.3,0.0,0.1,0.1,0.0,1.9,251.0,2.1,195.0,1.6,166.0,0.2,0.0,0.5,0.1,36.9,0.1,Caution,Low viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention.
11.0,7.1,2.0,0.9,8.4,45.0,1.5,0.0,0.7,0.9,6.3,0.5,1.3,0.0,2947.0,9.5,1407.0,75.0,1193.0,2.0,0.8,0.0,0.0,123.4,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
11.0,11.0,4.8,1.1,14.0,77.0,1.8,0.0,0.9,0.9,4.1,0.5,1.3,0.0,2905.0,9.9,1437.0,76.0,1172.0,3.1,0.8,0.0,0.0,124.2,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
11.0,11.0,3.4,1.6,17.0,114.0,2.7,0.0,0.9,0.9,11.0,0.5,1.3,0.0,2827.0,9.9,1461.0,74.0,1133.0,2.9,0.8,0.0,0.0,127.3,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
6.4,18.0,7.8,0.7,2.5,54.0,3.8,0.0,0.6,0.9,0.7,0.8,1.3,0.0,2014.0,7.8,758.0,120.0,732.0,0.5,0.7,0.0,0.0,37.1,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
4.1,14.0,1.1,0.8,7.4,41.0,0.5,1.2,7.2,0.9,0.9,0.7,1.3,1.1,33.0,0.9,2000.0,10.0,21.0,1.2,0.8,0.0,0.0,186.3,0.1,Serious,Visible debris present (metal / metal-like particles). Possible sampling problem; advise resample to confirm.
4.8,17.0,1.3,0.9,2.9,46.0,1.2,1.1,2.5,0.9,0.9,0.7,1.3,3.5,23.0,1.0,2000.0,9.0,18.0,1.4,0.8,0.0,0.0,182.9,0.1,Normal,Condition satisfactory.
4.7,16.0,1.3,1.0,3.2,53.0,0.7,1.4,5.1,0.9,0.8,0.7,1.3,1.7,89.0,1.2,2000.0,9.5,41.0,1.6,0.8,0.0,0.0,182.7,0.1,Normal,Condition satisfactory.
4.3,5.1,1.3,0.6,2.4,6.9,1.1,1.2,0.8,0.9,0.2,0.4,1.3,1000.0,66.0,0.8,439.0,87.0,295.0,0.3,0.7,0.0,0.0,35.0,0.1,Normal,Condition satisfactory.
13.0,6.6,1.6,1.1,18.0,103.0,1.2,2.3,0.9,0.8,0.9,0.5,1.3,4.9,200.0,1.9,525.0,206.0,6.3,0.6,1.5,0.0,0.0,34.9,0.1,Caution,Low viscosity noted. Visible debris present. Since no abnormal wear; contamination may have occured at sampling. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
56.0,6.2,6.4,1.4,6.3,29.0,0.0,0.0,50.0,0.9,1.9,0.5,1.3,0.0,1474.0,933.0,627.0,29.0,906.0,0.7,0.7,581.0,0.0,89.9,0.1,Serious,The level of Potassium appears high and may indicate some coolant ingress. Wear appears satisfactory. Advice : Pressure check coolant system (if applicable) and feedback findings before next sample. Change oil if not changed when sampled.
13.0,4.1,2.7,0.9,18.0,10.0,0.0,0.0,50.0,0.9,0.4,0.5,1.3,0.0,1452.0,1047.0,720.0,67.0,950.0,0.3,0.7,6.3,0.0,89.5,0.1,Normal,Condition satisfactory.
11.0,5.5,7.8,0.7,3.0,57.0,5.0,2.4,1.0,0.9,1.0,0.5,1.3,0.5,213.0,3.8,486.0,178.0,25.0,0.5,0.9,2.9,0.0,32.0,0.1,Normal,Condition satisfactory.
18.0,16.0,5.5,0.9,34.0,76.0,1.5,2.2,3.5,0.9,1.3,0.7,1.3,0.0,3574.0,21.0,1123.0,95.0,1444.0,0.6,1.0,11.0,0.0,104.1,0.1,Normal,Condition satisfactory.
19.0,19.0,5.8,1.1,54.0,100.0,2.3,2.8,3.5,0.9,1.9,0.8,1.3,0.0,3475.0,21.0,1133.0,96.0,1458.0,0.8,1.1,13.0,0.0,105.7,0.1,Normal,Condition satisfactory.
1.5,3.1,1.2,0.6,1.5,3.2,0.8,1.3,4.2,0.9,0.2,0.4,1.3,0.0,214.0,85.0,347.0,14.0,474.0,0.2,0.9,0.0,0.0,44.7,0.1,Normal,Condition satisfactory.
16.0,9.4,1.8,0.8,21.0,45.0,0.7,2.3,3.9,0.9,0.7,0.4,1.3,0.0,3585.0,30.0,1132.0,99.0,1448.0,0.4,1.7,0.0,0.0,103.8,0.1,Normal,Condition satisfactory.
18.0,14.0,4.8,0.8,37.0,62.0,1.5,1.4,3.4,0.9,1.3,0.7,1.3,0.0,3562.0,22.0,1117.0,93.0,1456.0,0.5,1.1,11.0,0.0,103.2,0.1,Normal,Condition satisfactory.
